,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity
18,11754553,K00775.01,Kepler-52 c,15.095,Kepler-52,3,14,17,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
19,11754553,K00775.02,Kepler-52 b,15.095,Kepler-52,3,14,17,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
20,11754553,K00775.03,Kepler-52 d,15.095,Kepler-52,3,14,17,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
21,11853255,K00778.01,Kepler-674 b,15.135,Kepler-674,0,1,1,0,1,[None]
22,11918099,K00780.01,Kepler-675 b,15.334,Kepler-675,0,1,1,0,1,[None]
23,11923270,K00781.01,Kepler-676 b,15.937,Kepler-676,0,1,1,0,1,[None]
24,12066335,K00784.01,Kepler-231 c,15.385,Kepler-231,1,1,2,0,1,"[None, None]"
25,12066335,K00784.02,Kepler-231 b,15.385,Kepler-231,1,1,2,0,1,"[None, None]"
26,12070811,K00785.01,Kepler-679 b,15.505,Kepler-679,0,1,1,0,1,[None]
27,12470844,K00790.01,Kepler-233 b,15.339,Kepler-233,1,1,2,0,1,"[None, None]"
28,2713049,K00794.01,Kepler-683 b,15.026,Kepler-683,0,1,1,0,1,[None]
29,3114167,K00795.01,Kepler-684 b,15.591,Kepler-684,0,1,1,0,1,[None]
30,4139816,K00812.02,Kepler-235 d,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]"
31,4139816,K00812.03,Kepler-235 e,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]"
32,3641726,K00804.01,Kepler-1727 b,15.387,Kepler-1727,0,1,1,0,1,[None]
33,3940418,K00810.01,Kepler-1728 b,15.119,Kepler-1728,0,1,1,0,1,[None]
34,4139816,K00812.01,Kepler-235 b,15.954,Kepler-235,0,4,4,0,1,"[None, None, None, None]"
35,10875245,K00117.02,Kepler-107 c,12.487,Kepler-107,0,16,16,0,1,"[0.1, 0.08, 0.1, 0.11, None, None, None, None, None, None, None, None, None, None, None, None]"
36,4725681,K00817.01,Kepler-236 c,15.414,Kepler-236,0,2,2,0,1,"[None, None]"
37,4913852,K00818.01,Kepler-691 b,15.877,Kepler-691,0,1,1,0,1,[None]
38,5252423,K00825.01,Kepler-237 c,15.289,Kepler-237,0,2,2,0,1,"[None, None]"
39,5252423,K00825.02,Kepler-237 b,15.289,Kepler-237,0,2,2,0,1,"[None, None]"
40,5272878,K00826.01,Kepler-694 b,15.09,Kepler-694,0,1,1,0,1,[None]
41,5436502,K00834.04,Kepler-238 b,15.084,Kepler-238,2,3,5,0,1,"[None, None, None, None, None]"
42,5456651,K00835.01,Kepler-239 b,15.208,Kepler-239,0,2,2,0,1,"[None, None]"
43,5531576,K00837.01,Kepler-240 c,15.66,Kepler-240,0,2,2,0,1,"[None, None]"
44,5531576,K00837.02,Kepler-240 b,15.66,Kepler-240,0,2,2,0,1,"[None, None]"
